name,value
薄皮核桃,15.0
话梅,15.0
青蛤,15.0
香蕉干,15.0
鸡毛菜,15.0
黑爪公鸡,15.0
新奇士,14.5
后肘（去骨）,14.0
啤梨,14.0
慈姑,14.0
梅花骨,14.0
牛腰子,14.0
百香果,14.0
紫贝天葵,14.0
纯通脊,14.0
羊肠,14.0
鲍鱼,14.0
鸭胗,14.0
文蛤,13.0
沙葁,13.0
油桃,13.0
清江鱼,13.0
猪心,13.0
白条鹅,13.0
白芸豆,13.0
纯瘦肉,13.0
羊头,13.0
青鱼,13.0
黑鱼,13.0
黑芝麻,12.5
五花头,12.0
五香花生米,12.0
凤梨,12.0
前臀尖,12.0
后肘（带骨）,12.0
后臀尖,12.0
平鱼,12.0
松花鱼,12.0
柑橘,12.0
海蜇皮,12.0
淘汰鸡,12.0
牛蛙,12.0
白条乌鸡,12.0
罗非鱼,12.0
西洋菜,12.0
鸡翅,12.0
龙眼,12.0
白条猪,11.5
通脊,11.5
冰草,11.0
南姜,11.0
木耳菜,11.0
棒骨,11.0
武昌鱼,11.0
猪头,11.0
生蚝,11.0
空心菜,11.0
纯腔骨,11.0
苋菜,11.0
西柚,11.0
青柚,11.0
松花蛋,10.5
带鱼,10.0
椰青,10.0
油麦菜,10.0
海蜇头,10.0
火参果,10.0
熟鸭蛋,10.0
牛心,10.0
空心脆枣,10.0
羊骨头,10.0
胖头鱼,10.0
花生,10.0
荔浦芋头,10.0
乌鸡蛋,9.5
仔鸡,9.5
澳洲芒果,9.5
白芝麻,9.5
鸡翅根,9.5
柴鸡蛋,9.0
菊花菜,9.0
菠萝蜜,9.0
银芽,9.0
香芋头,9.0
鲫鱼,9.0
鸡琵琶腿,8.8
紫苏叶,8.5
鸭肠,8.5
小黄花鱼,8.0
散生菜,8.0
樱桃萝卜,8.0
火龙果,8.0
猪板油,8.0
猪皮,8.0
生鸭蛋,8.0
红小豆,8.0
羊尾巴油,8.0
芥兰,8.0
花生米,8.0
苦菊,8.0
茼蒿,8.0
荆芥,8.0
菠菜,8.0
薏仁米,8.0
蚕豆,8.0
豇豆,8.0
青豆,8.0
高山娃娃,8.0
鳕鱼,8.0
鸡排腿,8.0
后肘,7.5
奶花豆,7.5
白条湖鸭,7.5
红芸豆,7.5
蒿子秆,7.5
鸡翅尖,7.5
鹌鹑蛋,7.5
鸡胸,7.2
小米,7.0
毛钳,7.0
海虹,7.0
海蜇丝,7.0
猪肝,7.0
白蛤,7.0
羊肝,7.0
肉鸡,7.0
花蛤,7.0
草鱼,7.0
荠菜,7.0
钉螺,7.0
鲶鱼,7.0
鸡边腿,7.0
苤蓝,6.5
香葱,6.5
鲤鱼,6.5
黑香米,6.5
鸭腿,6.3
鸡心,6.2
亿田粮田稻花香,6.0
奶白菜,6.0
小米面,6.0
猫眼豆,6.0
穿心莲,6.0
紫米,6.0
肥膘肉,6.0
菜心,6.0
鲐鲅,6.0
鸡油,6.0
黄心菜,6.0
黑豆,6.0
散鸡蛋,5.8
小白菜,5.5
紫菜头,5.5
绿豆,5.5
鸭心,5.5
乔府大院稻花香,5.0
小红扇贝,5.0
快菜,5.0
牛油,5.0
盖菜,5.0
青蒜,5.0
鲢鱼,5.0
鸡脖子,5.0
鸭肝,5.0
兴安盟魏佳稻花香,4.5
嘎嘎纯长粒香米,4.5
油菜,4.5
黄豆,4.5
荞麦面,4.3
香芹,4.3
黑龙江长粒稻花香米,4.1
亮珠河稻花香米,4.0
水萝卜,4.0
牛骨,4.0
猪肺,4.0
莜麦面,4.0
鸡架子,4.0
北方江米,3.8
南方江米,3.8
田螺,3.6
双然大米,3.5
大麦,3.5
江米面,3.5
燕麦,3.5
爆花玉米,3.5
青豌豆,3.5
高粱米,3.5
鸽子蛋,3.5
东北长粒香米,3.2
五梁红大米,3.2
兴安盟魏佳长粒香,3.2
尚品长粒香米,3.2
田满村稻花香米,3.2
亮珠河长粒香米,3.1
方正富硒米,3.1
秋然香米,3.1
麦仁,3.1
东北大米,3.0
农禾香长粒香米,3.0
小玉米,3.0
金龙鱼东北大米,3.0
首农双河长粒香大米,3.0
鸡头,3.0
鸡肝,3.0
古船龙粳长粒大米,2.9
宏盛鑫源长粒香大米,2.9
京丽圆长粒香米,2.8
老家辽星长粒香,2.8
兴安盟魏佳大米,2.7
首农双河秋田小町,2.7
东北盘锦大米,2.5
五得利雪花粉,2.5
元宝富强粉,2.5
北大荒精洁米,2.5
古船大米,2.5
玉米渣,2.5
玉米面,2.5
福稻梁源长粒清香米,2.5
黑土王秋田小町米,2.5
五得利富强粉,2.3
好面缘面粉,2.3
松花江大米,2.3
古船东北粳米,2.25
松花江秋天小町米,2.24
亮珠河珍珠米,2.2
古船富强粉,2.12
五得利特精粉,2.08
元宝特精粉,2.04
五得利标准粉,1.92
古船标准粉,1.9
活珠子,1.7
山鸡蛋,1.5
变蛋,1.0
